"w1","w2","w3","w4","w5","string","cats"
"yesterday","quickly","water","chased","water","yesterday quickly water chased water","sadv adv mn tv mn"
"water","quickly","water","chased","water","water quickly water chased water","mn adv mn tv mn"
"john","quickly","water","chased","water","john quickly water chased water","pn adv mn tv mn"
"the","dog","water","chased","water","the dog water chased water","d cn mn tv mn"
"with","john","water","chased","water","with john water chased water","p pn mn tv mn"
"yesterday","john","water","chased","water","yesterday john water chased water","sadv pn mn tv mn"
"quickly","john","water","chased","water","quickly john water chased water","adv pn mn tv mn"
"water","john","water","chased","water","water john water chased water","mn pn mn tv mn"
"yesterday","chased","water","chased","water","yesterday chased water chased water","sadv tv mn tv mn"
"quickly","chased","water","chased","water","quickly chased water chased water","adv tv mn tv mn"
"water","chased","water","chased","water","water chased water chased water","mn tv mn tv mn"
"john","chased","water","chased","water","john chased water chased water","pn tv mn tv mn"
"dog","the","john","chased","water","dog the john chased water","cn d pn tv mn"
"yesterday","with","john","chased","water","yesterday with john chased water","sadv p pn tv mn"
"quickly","with","john","chased","water","quickly with john chased water","adv p pn tv mn"
"water","with","john","chased","water","water with john chased water","mn p pn tv mn"
"john","with","john","chased","water","john with john chased water","pn p pn tv mn"
"quickly","yesterday","john","chased","water","quickly yesterday john chased water","adv sadv pn tv mn"
"water","yesterday","john","chased","water","water yesterday john chased water","mn sadv pn tv mn"
"john","yesterday","john","chased","water","john yesterday john chased water","pn sadv pn tv mn"
"yesterday","quickly","john","chased","water","yesterday quickly john chased water","sadv adv pn tv mn"
"water","quickly","john","chased","water","water quickly john chased water","mn adv pn tv mn"
"john","quickly","john","chased","water","john quickly john chased water","pn adv pn tv mn"
"the","dog","john","chased","water","the dog john chased water","d cn pn tv mn"
"with","water","john","chased","water","with water john chased water","p mn pn tv mn"
"yesterday","water","john","chased","water","yesterday water john chased water","sadv mn pn tv mn"
"quickly","water","john","chased","water","quickly water john chased water","adv mn pn tv mn"
"john","water","john","chased","water","john water john chased water","pn mn pn tv mn"
"yesterday","chased","john","chased","water","yesterday chased john chased water","sadv tv pn tv mn"
"quickly","chased","john","chased","water","quickly chased john chased water","adv tv pn tv mn"
"water","chased","john","chased","water","water chased john chased water","mn tv pn tv mn"
"john","chased","john","chased","water","john chased john chased water","pn tv pn tv mn"
"quickly","yesterday","barked","chased","water","quickly yesterday barked chased water","adv sadv itv tv mn"
"water","yesterday","barked","chased","water","water yesterday barked chased water","mn sadv itv tv mn"
"john","yesterday","barked","chased","water","john yesterday barked chased water","pn sadv itv tv mn"
"yesterday","quickly","barked","chased","water","yesterday quickly barked chased water","sadv adv itv tv mn"
"water","quickly","barked","chased","water","water quickly barked chased water","mn adv itv tv mn"
"john","quickly","barked","chased","water","john quickly barked chased water","pn adv itv tv mn"
"the","dog","barked","chased","water","the dog barked chased water","d cn itv tv mn"
"with","water","barked","chased","water","with water barked chased water","p mn itv tv mn"
"yesterday","water","barked","chased","water","yesterday water barked chased water","sadv mn itv tv mn"
"quickly","water","barked","chased","water","quickly water barked chased water","adv mn itv tv mn"
"john","water","barked","chased","water","john water barked chased water","pn mn itv tv mn"
"with","john","barked","chased","water","with john barked chased water","p pn itv tv mn"
"yesterday","john","barked","chased","water","yesterday john barked chased water","sadv pn itv tv mn"
"quickly","john","barked","chased","water","quickly john barked chased water","adv pn itv tv mn"
"water","john","barked","chased","water","water john barked chased water","mn pn itv tv mn"
"yesterday","chased","barked","chased","water","yesterday chased barked chased water","sadv tv itv tv mn"
"quickly","chased","barked","chased","water","quickly chased barked chased water","adv tv itv tv mn"
"water","chased","barked","chased","water","water chased barked chased water","mn tv itv tv mn"
"john","chased","barked","chased","water","john chased barked chased water","pn tv itv tv mn"
"dog","chased","yesterday","the","john","dog chased yesterday the john","cn tv sadv d pn"
"dog","barked","yesterday","the","john","dog barked yesterday the john","cn itv sadv d pn"
"dog","chased","quickly","the","john","dog chased quickly the john","cn tv adv d pn"
"dog","barked","quickly","the","john","dog barked quickly the john","cn itv adv d pn"
"dog","chased","water","the","john","dog chased water the john","cn tv mn d pn"
"dog","chased","john","the","john","dog chased john the john","cn tv pn d pn"
"dog","yesterday","chased","the","john","dog yesterday chased the john","cn sadv tv d pn"
"dog","quickly","chased","the","john","dog quickly chased the john","cn adv tv d pn"
"the","dog","chased","the","john","the dog chased the john","d cn tv d pn"
"with","dog","chased","the","john","with dog chased the john","p cn tv d pn"
"yesterday","dog","chased","the","john","yesterday dog chased the john","sadv cn tv d pn"
"quickly","dog","chased","the","john","quickly dog chased the john","adv cn tv d pn"
"water","dog","chased","the","john","water dog chased the john","mn cn tv d pn"
"dog","water","chased","the","john","dog water chased the john","cn mn tv d pn"
"dog","john","chased","the","john","dog john chased the john","cn pn tv d pn"
"dog","barked","chased","the","john","dog barked chased the john","cn itv tv d pn"
"yesterday","chased","yesterday","with","john","yesterday chased yesterday with john","sadv tv sadv p pn"
"quickly","chased","yesterday","with","john","quickly chased yesterday with john","adv tv sadv p pn"
"water","chased","yesterday","with","john","water chased yesterday with john","mn tv sadv p pn"
"john","chased","yesterday","with","john","john chased yesterday with john","pn tv sadv p pn"
"yesterday","barked","yesterday","with","john","yesterday barked yesterday with john","sadv itv sadv p pn"
"quickly","barked","yesterday","with","john","quickly barked yesterday with john","adv itv sadv p pn"
"water","barked","yesterday","with","john","water barked yesterday with john","mn itv sadv p pn"
"john","barked","yesterday","with","john","john barked yesterday with john","pn itv sadv p pn"
"yesterday","chased","quickly","with","john","yesterday chased quickly with john","sadv tv adv p pn"
"quickly","chased","quickly","with","john","quickly chased quickly with john","adv tv adv p pn"
"water","chased","quickly","with","john","water chased quickly with john","mn tv adv p pn"
"john","chased","quickly","with","john","john chased quickly with john","pn tv adv p pn"
"yesterday","barked","quickly","with","john","yesterday barked quickly with john","sadv itv adv p pn"
"quickly","barked","quickly","with","john","quickly barked quickly with john","adv itv adv p pn"
"water","barked","quickly","with","john","water barked quickly with john","mn itv adv p pn"
"john","barked","quickly","with","john","john barked quickly with john","pn itv adv p pn"
"yesterday","chased","water","with","john","yesterday chased water with john","sadv tv mn p pn"
"quickly","chased","water","with","john","quickly chased water with john","adv tv mn p pn"
"water","chased","water","with","john","water chased water with john","mn tv mn p pn"
"john","chased","water","with","john","john chased water with john","pn tv mn p pn"
"yesterday","chased","john","with","john","yesterday chased john with john","sadv tv pn p pn"
"quickly","chased","john","with","john","quickly chased john with john","adv tv pn p pn"
"water","chased","john","with","john","water chased john with john","mn tv pn p pn"
"john","chased","john","with","john","john chased john with john","pn tv pn p pn"
"quickly","yesterday","chased","with","john","quickly yesterday chased with john","adv sadv tv p pn"
"water","yesterday","chased","with","john","water yesterday chased with john","mn sadv tv p pn"
"john","yesterday","chased","with","john","john yesterday chased with john","pn sadv tv p pn"
"yesterday","quickly","chased","with","john","yesterday quickly chased with john","sadv adv tv p pn"
"water","quickly","chased","with","john","water quickly chased with john","mn adv tv p pn"
"john","quickly","chased","with","john","john quickly chased with john","pn adv tv p pn"
"the","dog","chased","with","john","the dog chased with john","d cn tv p pn"
"with","water","chased","with","john","with water chased with john","p mn tv p pn"
"yesterday","water","chased","with","john","yesterday water chased with john","sadv mn tv p pn"
"quickly","water","chased","with","john","quickly water chased with john","adv mn tv p pn"
"john","water","chased","with","john","john water chased with john","pn mn tv p pn"
"with","john","chased","with","john","with john chased with john","p pn tv p pn"
"yesterday","john","chased","with","john","yesterday john chased with john","sadv pn tv p pn"
"quickly","john","chased","with","john","quickly john chased with john","adv pn tv p pn"
"water","john","chased","with","john","water john chased with john","mn pn tv p pn"
"yesterday","barked","chased","with","john","yesterday barked chased with john","sadv itv tv p pn"
"quickly","barked","chased","with","john","quickly barked chased with john","adv itv tv p pn"
"water","barked","chased","with","john","water barked chased with john","mn itv tv p pn"
"john","barked","chased","with","john","john barked chased with john","pn itv tv p pn"
"quickly","yesterday","barked","with","john","quickly yesterday barked with john","adv sadv itv p pn"
"water","yesterday","barked","with","john","water yesterday barked with john","mn sadv itv p pn"
"john","yesterday","barked","with","john","john yesterday barked with john","pn sadv itv p pn"
"yesterday","quickly","barked","with","john","yesterday quickly barked with john","sadv adv itv p pn"
"water","quickly","barked","with","john","water quickly barked with john","mn adv itv p pn"
"john","quickly","barked","with","john","john quickly barked with john","pn adv itv p pn"
"the","dog","barked","with","john","the dog barked with john","d cn itv p pn"
"with","water","barked","with","john","with water barked with john","p mn itv p pn"
"yesterday","water","barked","with","john","yesterday water barked with john","sadv mn itv p pn"
"quickly","water","barked","with","john","quickly water barked with john","adv mn itv p pn"
"john","water","barked","with","john","john water barked with john","pn mn itv p pn"
"with","john","barked","with","john","with john barked with john","p pn itv p pn"
"yesterday","john","barked","with","john","yesterday john barked with john","sadv pn itv p pn"
"quickly","john","barked","with","john","quickly john barked with john","adv pn itv p pn"
"water","john","barked","with","john","water john barked with john","mn pn itv p pn"
"yesterday","chased","barked","with","john","yesterday chased barked with john","sadv tv itv p pn"
"quickly","chased","barked","with","john","quickly chased barked with john","adv tv itv p pn"
"water","chased","barked","with","john","water chased barked with john","mn tv itv p pn"
"john","chased","barked","with","john","john chased barked with john","pn tv itv p pn"
"yesterday","chased","quickly","yesterday","john","yesterday chased quickly yesterday john","sadv tv adv sadv pn"
"quickly","chased","quickly","yesterday","john","quickly chased quickly yesterday john","adv tv adv sadv pn"
"water","chased","quickly","yesterday","john","water chased quickly yesterday john","mn tv adv sadv pn"
"john","chased","quickly","yesterday","john","john chased quickly yesterday john","pn tv adv sadv pn"
"yesterday","barked","quickly","yesterday","john","yesterday barked quickly yesterday john","sadv itv adv sadv pn"
"quickly","barked","quickly","yesterday","john","quickly barked quickly yesterday john","adv itv adv sadv pn"
"water","barked","quickly","yesterday","john","water barked quickly yesterday john","mn itv adv sadv pn"
"john","barked","quickly","yesterday","john","john barked quickly yesterday john","pn itv adv sadv pn"
"yesterday","chased","water","yesterday","john","yesterday chased water yesterday john","sadv tv mn sadv pn"
"quickly","chased","water","yesterday","john","quickly chased water yesterday john","adv tv mn sadv pn"
"water","chased","water","yesterday","john","water chased water yesterday john","mn tv mn sadv pn"
"john","chased","water","yesterday","john","john chased water yesterday john","pn tv mn sadv pn"
"yesterday","chased","john","yesterday","john","yesterday chased john yesterday john","sadv tv pn sadv pn"
"quickly","chased","john","yesterday","john","quickly chased john yesterday john","adv tv pn sadv pn"
"water","chased","john","yesterday","john","water chased john yesterday john","mn tv pn sadv pn"
"john","chased","john","yesterday","john","john chased john yesterday john","pn tv pn sadv pn"
"quickly","yesterday","chased","yesterday","john","quickly yesterday chased yesterday john","adv sadv tv sadv pn"
"water","yesterday","chased","yesterday","john","water yesterday chased yesterday john","mn sadv tv sadv pn"
"john","yesterday","chased","yesterday","john","john yesterday chased yesterday john","pn sadv tv sadv pn"
"yesterday","quickly","chased","yesterday","john","yesterday quickly chased yesterday john","sadv adv tv sadv pn"
"water","quickly","chased","yesterday","john","water quickly chased yesterday john","mn adv tv sadv pn"
"john","quickly","chased","yesterday","john","john quickly chased yesterday john","pn adv tv sadv pn"
"the","dog","chased","yesterday","john","the dog chased yesterday john","d cn tv sadv pn"
"with","water","chased","yesterday","john","with water chased yesterday john","p mn tv sadv pn"
"yesterday","water","chased","yesterday","john","yesterday water chased yesterday john","sadv mn tv sadv pn"
"quickly","water","chased","yesterday","john","quickly water chased yesterday john","adv mn tv sadv pn"
"john","water","chased","yesterday","john","john water chased yesterday john","pn mn tv sadv pn"
"with","john","chased","yesterday","john","with john chased yesterday john","p pn tv sadv pn"
"yesterday","john","chased","yesterday","john","yesterday john chased yesterday john","sadv pn tv sadv pn"
"quickly","john","chased","yesterday","john","quickly john chased yesterday john","adv pn tv sadv pn"
"water","john","chased","yesterday","john","water john chased yesterday john","mn pn tv sadv pn"
"yesterday","barked","chased","yesterday","john","yesterday barked chased yesterday john","sadv itv tv sadv pn"
"quickly","barked","chased","yesterday","john","quickly barked chased yesterday john","adv itv tv sadv pn"
"water","barked","chased","yesterday","john","water barked chased yesterday john","mn itv tv sadv pn"
"john","barked","chased","yesterday","john","john barked chased yesterday john","pn itv tv sadv pn"
"quickly","yesterday","barked","yesterday","john","quickly yesterday barked yesterday john","adv sadv itv sadv pn"
"water","yesterday","barked","yesterday","john","water yesterday barked yesterday john","mn sadv itv sadv pn"
"john","yesterday","barked","yesterday","john","john yesterday barked yesterday john","pn sadv itv sadv pn"
"yesterday","quickly","barked","yesterday","john","yesterday quickly barked yesterday john","sadv adv itv sadv pn"
"water","quickly","barked","yesterday","john","water quickly barked yesterday john","mn adv itv sadv pn"
"john","quickly","barked","yesterday","john","john quickly barked yesterday john","pn adv itv sadv pn"
"the","dog","barked","yesterday","john","the dog barked yesterday john","d cn itv sadv pn"
"with","water","barked","yesterday","john","with water barked yesterday john","p mn itv sadv pn"
"yesterday","water","barked","yesterday","john","yesterday water barked yesterday john","sadv mn itv sadv pn"
"quickly","water","barked","yesterday","john","quickly water barked yesterday john","adv mn itv sadv pn"
"john","water","barked","yesterday","john","john water barked yesterday john","pn mn itv sadv pn"
"with","john","barked","yesterday","john","with john barked yesterday john","p pn itv sadv pn"
"yesterday","john","barked","yesterday","john","yesterday john barked yesterday john","sadv pn itv sadv pn"
"quickly","john","barked","yesterday","john","quickly john barked yesterday john","adv pn itv sadv pn"
"water","john","barked","yesterday","john","water john barked yesterday john","mn pn itv sadv pn"
"yesterday","chased","barked","yesterday","john","yesterday chased barked yesterday john","sadv tv itv sadv pn"
"quickly","chased","barked","yesterday","john","quickly chased barked yesterday john","adv tv itv sadv pn"
"water","chased","barked","yesterday","john","water chased barked yesterday john","mn tv itv sadv pn"
"john","chased","barked","yesterday","john","john chased barked yesterday john","pn tv itv sadv pn"
"yesterday","chased","yesterday","quickly","john","yesterday chased yesterday quickly john","sadv tv sadv adv pn"
"quickly","chased","yesterday","quickly","john","quickly chased yesterday quickly john","adv tv sadv adv pn"
"water","chased","yesterday","quickly","john","water chased yesterday quickly john","mn tv sadv adv pn"
"john","chased","yesterday","quickly","john","john chased yesterday quickly john","pn tv sadv adv pn"
"yesterday","barked","yesterday","quickly","john","yesterday barked yesterday quickly john","sadv itv sadv adv pn"
"quickly","barked","yesterday","quickly","john","quickly barked yesterday quickly john","adv itv sadv adv pn"
"water","barked","yesterday","quickly","john","water barked yesterday quickly john","mn itv sadv adv pn"
"john","barked","yesterday","quickly","john","john barked yesterday quickly john","pn itv sadv adv pn"
"yesterday","chased","water","quickly","john","yesterday chased water quickly john","sadv tv mn adv pn"
"quickly","chased","water","quickly","john","quickly chased water quickly john","adv tv mn adv pn"
"water","chased","water","quickly","john","water chased water quickly john","mn tv mn adv pn"
"john","chased","water","quickly","john","john chased water quickly john","pn tv mn adv pn"
"yesterday","chased","john","quickly","john","yesterday chased john quickly john","sadv tv pn adv pn"
"quickly","chased","john","quickly","john","quickly chased john quickly john","adv tv pn adv pn"
"water","chased","john","quickly","john","water chased john quickly john","mn tv pn adv pn"
"john","chased","john","quickly","john","john chased john quickly john","pn tv pn adv pn"
"quickly","yesterday","chased","quickly","john","quickly yesterday chased quickly john","adv sadv tv adv pn"
"water","yesterday","chased","quickly","john","water yesterday chased quickly john","mn sadv tv adv pn"
"john","yesterday","chased","quickly","john","john yesterday chased quickly john","pn sadv tv adv pn"
"yesterday","quickly","chased","quickly","john","yesterday quickly chased quickly john","sadv adv tv adv pn"
"water","quickly","chased","quickly","john","water quickly chased quickly john","mn adv tv adv pn"
"john","quickly","chased","quickly","john","john quickly chased quickly john","pn adv tv adv pn"
"the","dog","chased","quickly","john","the dog chased quickly john","d cn tv adv pn"
"with","water","chased","quickly","john","with water chased quickly john","p mn tv adv pn"
"yesterday","water","chased","quickly","john","yesterday water chased quickly john","sadv mn tv adv pn"
"quickly","water","chased","quickly","john","quickly water chased quickly john","adv mn tv adv pn"
"john","water","chased","quickly","john","john water chased quickly john","pn mn tv adv pn"
"with","john","chased","quickly","john","with john chased quickly john","p pn tv adv pn"
"yesterday","john","chased","quickly","john","yesterday john chased quickly john","sadv pn tv adv pn"
"quickly","john","chased","quickly","john","quickly john chased quickly john","adv pn tv adv pn"
"water","john","chased","quickly","john","water john chased quickly john","mn pn tv adv pn"
"yesterday","barked","chased","quickly","john","yesterday barked chased quickly john","sadv itv tv adv pn"
"quickly","barked","chased","quickly","john","quickly barked chased quickly john","adv itv tv adv pn"
"water","barked","chased","quickly","john","water barked chased quickly john","mn itv tv adv pn"
"john","barked","chased","quickly","john","john barked chased quickly john","pn itv tv adv pn"
"quickly","yesterday","barked","quickly","john","quickly yesterday barked quickly john","adv sadv itv adv pn"
"water","yesterday","barked","quickly","john","water yesterday barked quickly john","mn sadv itv adv pn"
"john","yesterday","barked","quickly","john","john yesterday barked quickly john","pn sadv itv adv pn"
"yesterday","quickly","barked","quickly","john","yesterday quickly barked quickly john","sadv adv itv adv pn"
"water","quickly","barked","quickly","john","water quickly barked quickly john","mn adv itv adv pn"
"john","quickly","barked","quickly","john","john quickly barked quickly john","pn adv itv adv pn"
"the","dog","barked","quickly","john","the dog barked quickly john","d cn itv adv pn"
"with","water","barked","quickly","john","with water barked quickly john","p mn itv adv pn"
"yesterday","water","barked","quickly","john","yesterday water barked quickly john","sadv mn itv adv pn"
"quickly","water","barked","quickly","john","quickly water barked quickly john","adv mn itv adv pn"
"john","water","barked","quickly","john","john water barked quickly john","pn mn itv adv pn"
"with","john","barked","quickly","john","with john barked quickly john","p pn itv adv pn"
"yesterday","john","barked","quickly","john","yesterday john barked quickly john","sadv pn itv adv pn"
"quickly","john","barked","quickly","john","quickly john barked quickly john","adv pn itv adv pn"
"water","john","barked","quickly","john","water john barked quickly john","mn pn itv adv pn"
"yesterday","chased","barked","quickly","john","yesterday chased barked quickly john","sadv tv itv adv pn"
"quickly","chased","barked","quickly","john","quickly chased barked quickly john","adv tv itv adv pn"
"water","chased","barked","quickly","john","water chased barked quickly john","mn tv itv adv pn"
"john","chased","barked","quickly","john","john chased barked quickly john","pn tv itv adv pn"
"yesterday","chased","the","dog","john","yesterday chased the dog john","sadv tv d cn pn"
"quickly","chased","the","dog","john","quickly chased the dog john","adv tv d cn pn"
"dog","chased","the","dog","john","dog chased the dog john","cn tv d cn pn"
"water","chased","the","dog","john","water chased the dog john","mn tv d cn pn"
"john","chased","the","dog","john","john chased the dog john","pn tv d cn pn"
"dog","chased","the","water","john","dog chased the water john","cn tv d mn pn"
"yesterday","chased","with","water","john","yesterday chased with water john","sadv tv p mn pn"
"quickly","chased","with","water","john","quickly chased with water john","adv tv p mn pn"
"water","chased","with","water","john","water chased with water john","mn tv p mn pn"
"john","chased","with","water","john","john chased with water john","pn tv p mn pn"
"yesterday","barked","with","water","john","yesterday barked with water john","sadv itv p mn pn"
"quickly","barked","with","water","john","quickly barked with water john","adv itv p mn pn"
"water","barked","with","water","john","water barked with water john","mn itv p mn pn"
"john","barked","with","water","john","john barked with water john","pn itv p mn pn"
"yesterday","chased","yesterday","water","john","yesterday chased yesterday water john","sadv tv sadv mn pn"
"quickly","chased","yesterday","water","john","quickly chased yesterday water john","adv tv sadv mn pn"
"water","chased","yesterday","water","john","water chased yesterday water john","mn tv sadv mn pn"
"john","chased","yesterday","water","john","john chased yesterday water john","pn tv sadv mn pn"
"yesterday","barked","yesterday","water","john","yesterday barked yesterday water john","sadv itv sadv mn pn"
"quickly","barked","yesterday","water","john","quickly barked yesterday water john","adv itv sadv mn pn"
"water","barked","yesterday","water","john","water barked yesterday water john","mn itv sadv mn pn"
"john","barked","yesterday","water","john","john barked yesterday water john","pn itv sadv mn pn"
"yesterday","chased","quickly","water","john","yesterday chased quickly water john","sadv tv adv mn pn"
"quickly","chased","quickly","water","john","quickly chased quickly water john","adv tv adv mn pn"
"water","chased","quickly","water","john","water chased quickly water john","mn tv adv mn pn"
"john","chased","quickly","water","john","john chased quickly water john","pn tv adv mn pn"
"yesterday","barked","quickly","water","john","yesterday barked quickly water john","sadv itv adv mn pn"
"quickly","barked","quickly","water","john","quickly barked quickly water john","adv itv adv mn pn"
"water","barked","quickly","water","john","water barked quickly water john","mn itv adv mn pn"
"john","barked","quickly","water","john","john barked quickly water john","pn itv adv mn pn"
"yesterday","chased","john","water","john","yesterday chased john water john","sadv tv pn mn pn"
"quickly","chased","john","water","john","quickly chased john water john","adv tv pn mn pn"
"water","chased","john","water","john","water chased john water john","mn tv pn mn pn"
"john","chased","john","water","john","john chased john water john","pn tv pn mn pn"
"quickly","yesterday","chased","water","john","quickly yesterday chased water john","adv sadv tv mn pn"
"water","yesterday","chased","water","john","water yesterday chased water john","mn sadv tv mn pn"
"john","yesterday","chased","water","john","john yesterday chased water john","pn sadv tv mn pn"
"yesterday","quickly","chased","water","john","yesterday quickly chased water john","sadv adv tv mn pn"
"water","quickly","chased","water","john","water quickly chased water john","mn adv tv mn pn"
"john","quickly","chased","water","john","john quickly chased water john","pn adv tv mn pn"
"the","dog","chased","water","john","the dog chased water john","d cn tv mn pn"
"with","water","chased","water","john","with water chased water john","p mn tv mn pn"
"yesterday","water","chased","water","john","yesterday water chased water john","sadv mn tv mn pn"
"quickly","water","chased","water","john","quickly water chased water john","adv mn tv mn pn"
"john","water","chased","water","john","john water chased water john","pn mn tv mn pn"
"with","john","chased","water","john","with john chased water john","p pn tv mn pn"
"yesterday","john","chased","water","john","yesterday john chased water john","sadv pn tv mn pn"
"quickly","john","chased","water","john","quickly john chased water john","adv pn tv mn pn"
"water","john","chased","water","john","water john chased water john","mn pn tv mn pn"
"yesterday","barked","chased","water","john","yesterday barked chased water john","sadv itv tv mn pn"
"quickly","barked","chased","water","john","quickly barked chased water john","adv itv tv mn pn"
"water","barked","chased","water","john","water barked chased water john","mn itv tv mn pn"
"john","barked","chased","water","john","john barked chased water john","pn itv tv mn pn"
"yesterday","quickly","yesterday","chased","john","yesterday quickly yesterday chased john","sadv adv sadv tv pn"
"water","quickly","yesterday","chased","john","water quickly yesterday chased john","mn adv sadv tv pn"
"john","quickly","yesterday","chased","john","john quickly yesterday chased john","pn adv sadv tv pn"
"the","dog","yesterday","chased","john","the dog yesterday chased john","d cn sadv tv pn"
"with","water","yesterday","chased","john","with water yesterday chased john","p mn sadv tv pn"
"yesterday","water","yesterday","chased","john","yesterday water yesterday chased john","sadv mn sadv tv pn"
"quickly","water","yesterday","chased","john","quickly water yesterday chased john","adv mn sadv tv pn"
"john","water","yesterday","chased","john","john water yesterday chased john","pn mn sadv tv pn"
"with","john","yesterday","chased","john","with john yesterday chased john","p pn sadv tv pn"
"yesterday","john","yesterday","chased","john","yesterday john yesterday chased john","sadv pn sadv tv pn"
"quickly","john","yesterday","chased","john","quickly john yesterday chased john","adv pn sadv tv pn"
"water","john","yesterday","chased","john","water john yesterday chased john","mn pn sadv tv pn"
"yesterday","chased","yesterday","chased","john","yesterday chased yesterday chased john","sadv tv sadv tv pn"
"quickly","chased","yesterday","chased","john","quickly chased yesterday chased john","adv tv sadv tv pn"
"water","chased","yesterday","chased","john","water chased yesterday chased john","mn tv sadv tv pn"
"john","chased","yesterday","chased","john","john chased yesterday chased john","pn tv sadv tv pn"
"yesterday","barked","yesterday","chased","john","yesterday barked yesterday chased john","sadv itv sadv tv pn"
"quickly","barked","yesterday","chased","john","quickly barked yesterday chased john","adv itv sadv tv pn"
"water","barked","yesterday","chased","john","water barked yesterday chased john","mn itv sadv tv pn"
"john","barked","yesterday","chased","john","john barked yesterday chased john","pn itv sadv tv pn"
"quickly","yesterday","quickly","chased","john","quickly yesterday quickly chased john","adv sadv adv tv pn"
"water","yesterday","quickly","chased","john","water yesterday quickly chased john","mn sadv adv tv pn"
"john","yesterday","quickly","chased","john","john yesterday quickly chased john","pn sadv adv tv pn"
"the","dog","quickly","chased","john","the dog quickly chased john","d cn adv tv pn"
"with","water","quickly","chased","john","with water quickly chased john","p mn adv tv pn"
"yesterday","water","quickly","chased","john","yesterday water quickly chased john","sadv mn adv tv pn"
"quickly","water","quickly","chased","john","quickly water quickly chased john","adv mn adv tv pn"
"john","water","quickly","chased","john","john water quickly chased john","pn mn adv tv pn"
"with","john","quickly","chased","john","with john quickly chased john","p pn adv tv pn"
"yesterday","john","quickly","chased","john","yesterday john quickly chased john","sadv pn adv tv pn"
"quickly","john","quickly","chased","john","quickly john quickly chased john","adv pn adv tv pn"
"water","john","quickly","chased","john","water john quickly chased john","mn pn adv tv pn"
"yesterday","chased","quickly","chased","john","yesterday chased quickly chased john","sadv tv adv tv pn"
"quickly","chased","quickly","chased","john","quickly chased quickly chased john","adv tv adv tv pn"
"water","chased","quickly","chased","john","water chased quickly chased john","mn tv adv tv pn"
"john","chased","quickly","chased","john","john chased quickly chased john","pn tv adv tv pn"
"yesterday","barked","quickly","chased","john","yesterday barked quickly chased john","sadv itv adv tv pn"
"quickly","barked","quickly","chased","john","quickly barked quickly chased john","adv itv adv tv pn"
"water","barked","quickly","chased","john","water barked quickly chased john","mn itv adv tv pn"
"john","barked","quickly","chased","john","john barked quickly chased john","pn itv adv tv pn"
"yesterday","the","dog","chased","john","yesterday the dog chased john","sadv d cn tv pn"
"quickly","the","dog","chased","john","quickly the dog chased john","adv d cn tv pn"
"dog","the","dog","chased","john","dog the dog chased john","cn d cn tv pn"
"water","the","dog","chased","john","water the dog chased john","mn d cn tv pn"
"john","the","dog","chased","john","john the dog chased john","pn d cn tv pn"
"the","water","dog","chased","john","the water dog chased john","d mn cn tv pn"
"dog","the","water","chased","john","dog the water chased john","cn d mn tv pn"
"yesterday","with","water","chased","john","yesterday with water chased john","sadv p mn tv pn"
"quickly","with","water","chased","john","quickly with water chased john","adv p mn tv pn"
"water","with","water","chased","john","water with water chased john","mn p mn tv pn"
"john","with","water","chased","john","john with water chased john","pn p mn tv pn"
"quickly","yesterday","water","chased","john","quickly yesterday water chased john","adv sadv mn tv pn"
"water","yesterday","water","chased","john","water yesterday water chased john","mn sadv mn tv pn"
"john","yesterday","water","chased","john","john yesterday water chased john","pn sadv mn tv pn"
"yesterday","quickly","water","chased","john","yesterday quickly water chased john","sadv adv mn tv pn"
"water","quickly","water","chased","john","water quickly water chased john","mn adv mn tv pn"
"john","quickly","water","chased","john","john quickly water chased john","pn adv mn tv pn"
"the","dog","water","chased","john","the dog water chased john","d cn mn tv pn"
"with","john","water","chased","john","with john water chased john","p pn mn tv pn"
"yesterday","john","water","chased","john","yesterday john water chased john","sadv pn mn tv pn"
"quickly","john","water","chased","john","quickly john water chased john","adv pn mn tv pn"
"water","john","water","chased","john","water john water chased john","mn pn mn tv pn"
"yesterday","chased","water","chased","john","yesterday chased water chased john","sadv tv mn tv pn"
"quickly","chased","water","chased","john","quickly chased water chased john","adv tv mn tv pn"
"water","chased","water","chased","john","water chased water chased john","mn tv mn tv pn"
"john","chased","water","chased","john","john chased water chased john","pn tv mn tv pn"
"dog","the","john","chased","john","dog the john chased john","cn d pn tv pn"
"yesterday","with","john","chased","john","yesterday with john chased john","sadv p pn tv pn"
"quickly","with","john","chased","john","quickly with john chased john","adv p pn tv pn"
"water","with","john","chased","john","water with john chased john","mn p pn tv pn"
"john","with","john","chased","john","john with john chased john","pn p pn tv pn"
"quickly","yesterday","john","chased","john","quickly yesterday john chased john","adv sadv pn tv pn"
"water","yesterday","john","chased","john","water yesterday john chased john","mn sadv pn tv pn"
"john","yesterday","john","chased","john","john yesterday john chased john","pn sadv pn tv pn"
"yesterday","quickly","john","chased","john","yesterday quickly john chased john","sadv adv pn tv pn"
"water","quickly","john","chased","john","water quickly john chased john","mn adv pn tv pn"
"john","quickly","john","chased","john","john quickly john chased john","pn adv pn tv pn"
"the","dog","john","chased","john","the dog john chased john","d cn pn tv pn"
"with","water","john","chased","john","with water john chased john","p mn pn tv pn"
"yesterday","water","john","chased","john","yesterday water john chased john","sadv mn pn tv pn"
